product_links,product_names,product_category,brand,ingredient,size,price,claims,image_path
https://www.beautypedia.com/products/ka-brow-cream-gel-brow-color/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Ka-Brow Cream-Gel Brow Color,Eyebrow,Benefit,"Isododecane,  Polyethylene,  Methyl Trimethicone,  Trimethylsiloxysilicate,  Barium Sulfate,  Hydrogenated Polyisobutene,  Cera Alba (Beeswax),  Copernicia Cerifera (Carnauba) Wax,  Mica,  Disteardimonium Hectorite,  Phenoxyethanol,  Propylene Carbonate,  Triethoxycaprylylsilane,  BHT. May Contain: CI 19140 (Yellow 5,  Yellow 5 Lake),  CI 42090 (Blue 1 Lake),  CI 77007 (Ultramarines),  CI 77163 (Bismuth Oxychloride),  CI 77288 (Chromium Oxide Greens),  CI 77289 (Chromium Hydroxide Green),  CI 77491,  CI 77492,  CI 77499 (Iron Oxides),  CI 77510 (Ferric Ferrocyanide,  Ferric Ammonium Ferrocyanide),  CI 77742 (Manganese Violet),  CI 77891 (Titanium Dioxide)",0.10 fl. oz.,24.00,"Brush on rich, buildable color! This all-in-one eyebrow cream-gel easily fills, sculpts and defines brows.",images/makeup/Ka-Brow-Cream-Gel-Brow-Color_Benefit.jpg
https://www.beautypedia.com/products/eye-brow-defining-pencil/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Eye Brow Defining Pencil,Eyebrow,Giorgio Armani,,,29.00,,images/makeup/Eye-Brow-Defining-Pencil_Giorgio-Armani.jpg
https://www.beautypedia.com/products/brow-gel-2/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Brow Gel,Eyebrow,Sonia Kashuk,,,5.99,,images/makeup/Brow-Gel_Sonia-Kashuk.jpg
https://www.beautypedia.com/products/lash-brow-perfector/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Lash & Brow Perfector,Eyebrow,Boots,,,7.99,,images/makeup/Lash-&-Brow-Perfector_Boots.jpg
https://www.beautypedia.com/products/take-a-brow/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Take A Brow,Eyebrow,Lorac,,,22.00,,images/makeup/Take-A-Brow_Lorac.jpg
https://www.beautypedia.com/products/perfect-brow-pencil/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Perfect Brow Pencil,Eyebrow,Anastasia of Beverly Hills,,,23.00,,images/makeup/Perfect-Brow-Pencil_Anastasia-of-Beverly-Hills.jpg
https://www.beautypedia.com/products/eyebrow-gel-waterproof/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Eyebrow Gel Waterproof,Eyebrow,NYX Cosmetics,,,7.00,,images/makeup/Eyebrow-Gel-Waterproof_NYX-Cosmetics.jpg
https://www.beautypedia.com/products/the-precision-brow-pencil/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,The Precision Brow Pencil,Eyebrow,Kevyn Aucoin,"Stearic Acid,  Rhus Succedanea Fruit Wax,  Hydrogenated Castor Oil,  Cera Alba (Beeswax/Cire DAbeille),  Microcrystalline Wax/Cire Microcristaline,  Mineral Oil/Huile Minerale,  Hydrogenated Coconut Oil,  Hydrogenated Palm Kernel Oil,  Hydrogenated Palm Oil,  Tocopherol,  Talc,  Titanium Dioxide (CI 77891),  Iron Oxides (CI 77491,  CI 77492,  CI 77499).",,26.00,"Sculpts, defines and shapes eyebrows to pure perfection. Its the thinnest and strongest lead on the market and can draw individual brow hairs that look truly natural. Long lasting. Retractable design. Water resistant.",images/makeup/The-Precision-Brow-Pencil_Kevyn-Aucoin.jpg
https://www.beautypedia.com/products/total-temptation-brow-definer/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Total Temptation Brow Definer,Eyebrow,Maybelline New York,"Synthetic Japan Wax,  Stearic Acid,  Synthetic Fluorphlogopite,  Hydrogenated Soybean Oil,  Hydrogenated Coco-Glycerides,  Zinc Stearate,  Polybutene,  Hydrogenated Vegetable Oil,  Cera Alba / Beeswax / Cire Dabeille,  Myristyl Myristate,  Copernicia Cerifera Cera / Carnauba Wax / Cire De Carnauba,  Polyglyceryl-2 Triisostearate,  VP/Eicosene Copolymer,  Tocopherol,  Citric Acid. May Contain: Iron Oxides,  Titanium Dioxide.",,7.99,Total Temptation Eyebrow Definer Pencil precisely fills in brows with our first teardrop-shaped applicator. ,images/makeup/Total-Temptation-Brow-Definer_Maybelline-New-York.jpg
https://www.beautypedia.com/products/modele-sourcils-brow-groomer/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Modele Sourcils Brow Groomer,Eyebrow,Lancome,,,25.00,,images/makeup/Modele-Sourcils-Brow-Groomer_Lancome.jpg
